,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0.741,0.626,1,0,0.0886,0.02,0.0,0.0828,0.706,108.029
1,0.447,0.247,5,0,0.0346,0.871,0.814,0.0946,0.25,155.489
2,0.55,0.415,9,0,0.052,0.161,0.0,0.108,0.274,172.065
3,0.502,0.648,0,0,0.0527,0.00513,0.0,0.204,0.291,91.837
4,0.807,0.887,1,1,0.275,0.00381,0.0,0.391,0.78,160.517
5,0.482,0.873,0,1,0.0853,0.0111,0.0,0.409,0.737,165.084
6,0.533,0.935,0,1,0.128,0.0139,0.0,0.168,0.481,140.092
7,0.736,0.522,2,1,0.116,0.0299,0.0,0.108,0.369,97.547
8,0.166,0.985,7,1,0.17,0.00183,0.0142,0.958,0.139,174.725
9,0.387,0.773,8,1,0.17,0.098,0.0,0.209,0.368,78.629
10,0.507,0.372,1,1,0.0303,0.481,0.0,0.271,0.257,86.422
11,0.64,0.844,2,0,0.0374,0.395,0.933,0.0827,0.364,119.042
12,0.245,0.0935,5,1,0.0373,0.748,0.254,0.0963,0.107,124.385
13,0.438,0.919,0,0,0.0495,0.00674,0.0,0.158,0.195,151.026
14,0.32,0.99,1,1,0.344,0.00902,0.00032,0.107,0.0424,178.107
15,0.891,0.625,2,1,0.0558,0.00261,0.000176,0.0504,0.548,134.967
16,0.769,0.611,8,1,0.039,0.098,0.0,0.221,0.0901,144.037
17,0.417,0.806,5,0,0.16,0.0703,0.00637,0.0841,0.545,127.887
18,0.459,0.899,2,1,0.21,0.0038,0.0,0.126,0.437,176.384
19,0.634,0.88,1,1,0.293,0.169,0.0,0.474,0.548,150.959
20,0.48,0.548,0,1,0.0328,0.627,0.00502,0.205,0.322,90.109
21,0.526,0.228,0,0,0.0542,0.975,0.903,0.106,0.239,143.295
22,0.742,0.853,9,1,0.0393,0.00743,4.79e-06,0.332,0.95,107.03
23,0.636,0.815,5,0,0.0581,0.0185,0.0,0.163,0.636,123.063
24,0.481,0.199,7,1,0.0326,0.949,0.618,0.12,0.147,127.996
25,0.464,0.766,7,1,0.041,0.000122,0.0275,0.544,0.335,130.458
26,0.429,0.924,11,0,0.135,0.00136,9.78e-06,0.345,0.209,180.033
27,0.241,0.0553,3,1,0.0336,0.926,0.93,0.108,0.0643,135.859
28,0.512,0.532,0,1,0.0301,0.475,0.0,0.0993,0.256,147.473
29,0.615,0.648,5,0,0.22,0.0411,0.0,0.277,0.26,169.912
30,0.142,0.013,7,1,0.0428,0.984,0.909,0.0994,0.0708,72.917
31,0.678,0.533,4,1,0.186,0.462,0.219,0.139,0.323,150.455
32,0.839,0.705,5,0,0.0445,0.0184,1.77e-05,0.102,0.575,119.954
33,0.654,0.866,6,0,0.286,0.00155,5.38e-06,0.0928,0.669,87.525
34,0.329,0.933,1,1,0.0552,3.47e-06,4.09e-06,0.059,0.261,104.676
35,0.7,0.709,7,1,0.0839,0.0048,0.0,0.0289,0.625,122.019
36,0.385,0.808,7,1,0.045,0.0629,0.0,0.33,0.546,129.22
37,0.804,0.886,1,1,0.04,0.0837,0.0,0.266,0.789,144.946
38,0.358,0.818,1,0,0.059,8.06e-05,0.000752,0.145,0.424,90.038
39,0.733,0.612,3,0,0.109,0.0478,0.000784,0.161,0.553,149.999
40,0.712,0.655,6,0,0.0686,0.592,0.0,0.122,0.721,94.991
41,0.214,0.832,6,1,0.0507,0.284,2.33e-05,0.546,0.23,74.541
42,0.834,0.731,11,0,0.266,0.115,0.000268,0.368,0.828,121.93
43,0.706,0.89,1,0,0.0688,0.0588,0.00286,0.306,0.684,128.011
44,0.771,0.671,2,1,0.0553,0.00929,0.0,0.0637,0.714,85.026
45,0.649,0.652,8,1,0.0382,0.00145,0.548,0.0574,0.471,108.002
46,0.233,0.925,6,1,0.094,5.42e-06,0.921,0.265,0.172,135.497
47,0.925,0.397,5,1,0.169,0.0889,5.12e-05,0.144,0.429,130.008
48,0.83,0.52,0,1,0.0376,0.000792,1.25e-05,0.0656,0.735,104.99
49,0.585,0.709,8,1,0.319,0.409,0.0,0.183,0.21,111.913
50,0.567,0.542,2,1,0.0309,0.309,0.000342,0.0734,0.229,125.16
51,0.636,0.565,1,1,0.0311,0.00437,0.276,0.376,0.53,87.993
52,0.701,0.731,11,0,0.213,0.0355,0.0,0.389,0.36,90.015
53,0.456,0.637,6,1,0.0354,0.0171,0.0,0.194,0.436,155.95
54,0.114,0.879,10,0,0.0766,4.12e-05,0.0864,0.0842,0.213,68.509
55,0.343,0.978,6,1,0.164,7.74e-06,2.86e-06,0.374,0.0832,120.629
56,0.564,0.318,0,1,0.0616,0.899,0.96,0.0858,0.742,170.707
57,0.773,0.736,9,1,0.0383,0.0335,0.0184,0.104,0.212,127.056
