,target
0,1
1,0
2,1
3,0
4,1
5,1
6,0
7,1
8,0
9,1
10,1
11,0
12,0
13,1
14,0
15,1
16,1
17,1
18,1
19,0
20,0
21,0
22,1
23,1
24,0
25,0
26,0
27,0
28,1
29,1
30,0
31,1
32,1
33,1
34,0
35,1
36,1
37,1
38,0
39,1
40,0
41,0
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,1
59,1
60,0
61,1
62,0
63,1
64,0
65,1
66,1
67,0
68,1
69,0
70,1
71,0
72,1
73,1
74,0
75,0
76,1
77,0
78,1
79,1
80,0
81,0
82,0
83,1
84,0
85,0
86,1
87,1
88,1
89,0
90,0
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,0
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,1
117,1
118,0
119,0
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,1
129,0
130,1
131,1
132,1
133,0
134,0
135,1
136,1
137,1
138,1
139,1
140,1
141,0
142,0
143,1
144,1
145,1
146,1
147,0
148,0
149,0
150,0
151,1
152,1
153,0
154,1
155,0
156,0
157,0
158,1
159,0
160,1
161,0
162,1
163,0
164,0
165,1
166,0
167,1
168,1
169,0
170,0
171,1
172,1
173,0
174,1
175,1
176,0
177,1
178,1
179,0
180,0
181,1
182,1
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,0
191,0
192,0
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,1
213,1
214,1
215,1
216,1
217,0
218,0
219,1
220,1
221,1
222,0
223,0
224,1
225,1
226,1
227,0
228,0
229,0
230,1
231,1
232,0
233,1
234,1
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,0
254,0
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,0
263,0
264,1
265,0
266,1
267,1
268,0
269,0
270,0
271,1
272,1
273,0
274,1
275,0
276,1
277,1
278,1
279,0
280,1
281,0
282,0
283,1
284,1
285,1
286,1
287,1
288,0
289,0
290,0
291,1
292,0
293,0
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,1
302,0
303,1
304,0
305,1
306,1
307,0
308,1
309,0
310,0
311,1
312,1
313,1
314,1
315,0
316,0
317,1
318,1
319,1
320,1
321,1
322,0
323,1
324,0
325,1
326,0
327,1
328,0
329,0
330,0
331,1
332,0
333,1
334,1
335,1
336,1
337,0
338,1
339,0
340,0
341,1
342,1
343,1
344,1
345,0
346,0
347,0
348,1
349,1
350,1
351,1
352,1
353,0
354,0
355,0
356,1
357,0
358,0
359,0
360,0
361,1
362,1
363,0
364,1
365,0
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,1
375,1
376,1
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,1
385,1
386,0
387,0
388,1
389,0
390,0
391,1
392,0
393,0
394,1
395,0
396,0
397,0
398,0
399,0
400,1
401,1
402,1
403,1
404,0
405,1
406,0
407,0
408,1
409,1
410,0
411,0
412,1
413,0
414,1
415,1
416,1
417,1
418,0
419,0
420,0
421,1
422,0
423,1
424,1
425,0
426,0
427,0
428,1
429,1
430,0
431,0
432,1
433,1
434,0
435,0
436,0
437,1
438,0
439,0
440,1
441,0
442,0
443,1
444,1
445,1
446,1
447,1
448,0
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,0
457,0
458,1
459,0
460,0
461,1
462,1
463,1
464,1
465,0
466,0
467,0
468,1
469,0
470,0
471,1
472,0
473,1
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,1
483,1
484,1
485,0
486,0
487,1
488,0
489,0
490,0
491,0
492,1
493,0
494,1
495,1
496,1
497,1
498,0
499,0
500,1
501,1
502,0
503,1
504,1
505,0
506,0
507,0
508,0
509,1
510,0
511,1
512,0
513,1
514,1
515,0
516,0
517,1
518,1
519,1
520,0
521,1
522,1
523,0
524,1
525,1
526,0
527,0
528,1
529,0
530,0
531,0
532,0
533,0
534,0
535,1
536,1
537,0
538,1
539,0
540,0
541,1
542,1
543,1
544,0
545,0
546,0
547,0
548,1
549,1
550,1
551,0
552,0
553,0
554,0
555,1
556,1
557,1
558,0
559,1
560,0
561,0
562,1
563,1
564,1
565,1
566,0
567,0
568,0
569,0
570,1
571,1
572,0
573,0
574,1
575,0
576,0
577,0
578,1
579,1
580,0
581,0
582,0
583,1
584,1
585,0
586,0
587,0
588,0
589,1
590,0
591,0
592,0
593,0
594,0
595,1
596,1
597,0
598,1
599,0
600,0
601,1
602,0
603,0
604,0
605,0
606,0
607,0
608,1
609,0
610,0
611,0
612,0
613,1
614,1
615,0
616,0
617,1
618,1
619,1
620,0
621,1
622,1
623,1
624,0
625,0
626,1
627,1
628,0
629,1
630,1
631,1
632,0
633,0
634,0
635,1
636,1
637,1
638,0
639,1
640,1
641,1
642,1
643,0
644,0
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,0
653,1
654,0
655,0
656,1
657,1
658,1
659,0
660,0
661,0
662,1
663,1
664,1
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,1
673,1
674,0
675,0
676,1
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,1
688,0
689,1
690,0
691,0
692,0
693,1
694,1
695,0
696,1
697,1
698,1
699,0
700,1
701,0
702,1
703,1
704,1
705,1
706,1
707,0
708,1
709,0
710,1
711,0
712,1
713,0
714,0
715,0
716,1
717,0
718,1
719,0
720,0
721,1
722,0
723,1
724,0
725,1
726,1
727,1
728,1
729,1
730,0
731,0
732,0
733,1
734,1
735,0
736,0
737,1
738,1
739,0
740,0
741,0
742,1
743,0
744,0
745,1
746,1
747,0
748,1
749,0
750,0
751,0
752,0
753,1
754,0
755,0
756,0
757,1
758,1
759,1
760,0
761,0
762,0
763,0
764,0
765,1
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,1
775,1
776,1
777,0
778,1
779,1
780,1
781,1
782,0
783,1
784,1
785,1
786,0
787,1
788,0
789,1
790,0
791,0
792,1
793,1
794,1
795,0
796,0
797,0
798,1
799,1
800,1
801,0
802,0
803,1
804,1
805,0
806,0
807,0
808,1
809,0
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,0
818,1
819,0
820,0
821,0
822,1
823,0
824,1
825,1
826,1
827,0
828,1
829,0
830,1
831,1
832,0
833,1
834,1
835,1
836,0
837,1
838,1
839,1
840,0
841,0
842,1
843,0
844,0
845,0
846,1
847,0
848,1
849,1
850,0
851,1
852,0
853,1
854,1
855,0
856,1
857,1
858,0
859,0
860,1
861,1
862,0
863,0
864,0
865,0
866,1
867,0
868,1
869,1
870,1
871,0
872,1
873,0
874,1
875,1
876,0
877,1
878,0
879,1
880,1
881,0
882,1
883,1
884,0
885,1
886,1
887,0
888,1
889,1
890,1
891,0
892,0
893,0
894,1
895,0
896,1
897,1
898,1
899,0
900,0
901,0
902,1
903,0
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,0
912,0
913,0
914,0
915,0
916,1
917,1
918,1
919,0
920,1
921,1
922,0
923,0
924,1
925,1
926,0
927,0
928,1
929,0
930,0
931,1
932,1
933,0
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,0
942,0
943,1
944,1
945,0
946,1
947,0
948,0
949,1
950,1
951,0
952,0
953,1
954,1
955,1
956,0
957,1
958,1
959,1
960,1
961,0
962,0
963,0
964,0
965,1
966,1
967,1
968,1
969,0
970,1
971,1
972,0
973,1
974,1
975,0
976,1
977,1
978,1
979,0
980,0
981,0
982,0
983,0
984,0
985,1
986,0
987,1
988,1
989,0
990,0
991,0
992,0
993,1
994,1
995,1
996,0
997,1
998,0
999,0
1000,1
1001,1
1002,1
1003,1
1004,0
1005,0
1006,0
1007,1
1008,1
1009,0
1010,1
1011,0
1012,0
1013,1
1014,0
1015,1
1016,1
1017,1
1018,0
1019,0
1020,0
1021,1
1022,1
1023,1
1024,1
1025,0
1026,0
1027,1
1028,0
1029,1
1030,0
1031,1
1032,0
1033,0
1034,1
1035,0
1036,0
1037,0
1038,0
1039,0
1040,1
1041,1
1042,1
1043,0
1044,0
1045,0
1046,1
1047,0
1048,0
1049,0
1050,1
1051,0
1052,0
1053,1
1054,1
1055,1
1056,0
1057,0
1058,1
1059,0
1060,0
1061,1
1062,0
1063,1
1064,1
1065,1
1066,0
1067,0
1068,0
1069,1
1070,1
1071,1
1072,0
1073,0
1074,0
1075,1
1076,0
1077,1
1078,1
1079,0
1080,1
1081,0
1082,0
1083,1
1084,1
1085,1
1086,0
1087,1
1088,0
1089,0
1090,0
1091,0
1092,0
1093,1
1094,0
1095,0
1096,0
1097,0
1098,1
1099,1
1100,0
1101,1
1102,1
1103,0
1104,1
1105,0
1106,1
1107,1
1108,1
1109,1
1110,0
1111,0
1112,0
1113,0
1114,1
1115,1
1116,1
1117,1
1118,0
1119,1
1120,1
1121,1
1122,1
1123,1
1124,0
1125,1
1126,1
1127,1
1128,1
1129,1
1130,0
1131,0
1132,1
1133,1
1134,1
1135,0
1136,0
1137,0
1138,0
1139,1
1140,1
1141,1
1142,1
1143,0
1144,0
1145,1
1146,0
1147,1
1148,0
1149,0
1150,1
1151,1
1152,1
1153,0
1154,0
1155,1
1156,0
1157,1
1158,0
1159,0
1160,1
1161,0
1162,1
1163,1
1164,0
1165,0
1166,1
1167,0
1168,0
1169,0
1170,1
1171,1
1172,0
1173,0
1174,1
1175,1
1176,1
1177,0
1178,0
1179,1
1180,1
1181,0
1182,0
1183,1
1184,0
1185,0
1186,0
1187,1
1188,1
1189,1
1190,0
1191,1
1192,1
1193,1
1194,0
1195,0
1196,1
1197,0
1198,0
1199,0
1200,1
1201,0
1202,0
1203,0
1204,1
1205,0
1206,0
1207,1
1208,1
1209,1
1210,0
1211,1
1212,0
1213,1
1214,0
1215,1
1216,0
1217,1
1218,1
1219,0
1220,1
1221,1
1222,1
1223,0
1224,0
1225,1
1226,0
1227,1
1228,0
1229,0
1230,0
