,track - artist,views
0,"Seven (feat. Latto) (Explicit Ver.) Latto, Jung Kook",141381703
1,LALA Myke Towers,133716286
2,vampire Olivia Rodrigo,140003974
3,Cruel Summer Taylor Swift,800840817
4,WHERE SHE GOES Bad Bunny,303236322
5,"Sprinter Dave, Central Cee",183706234
6,"Ella Baila Sola Eslabon Armado, Peso Pluma",725980112
7,Columbia Quevedo,58149378
8,fukumean Gunna,95217315
9,"La Bebe - Remix Peso Pluma, Yng Lvcas",553634067
10,"un x100to Bad Bunny, Grupo Frontera",505671438
11,Super Shy NewJeans,58255150
12,Flowers Miley Cyrus,1316855716
13,Daylight David Kushner,387570742
14,As It Was Harry Styles,2513188493
15,Kill Bill SZA,1163093654
16,Cupid - Twin Ver. Fifty Fifty,496795686
17,"What Was I Made For? [From The Motion Picture ""Barbie""] Billie Eilish",30546883
18,"Classy 101 Feid, Young Miko",335222234
19,Like Crazy Jimin,363369738
20,"LADY GAGA Gabito Ballesteros, Junior H, Peso Pluma",86444842
21,I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The  Taylor Swift,52135248
22,I Wanna Be Yours Arctic Monkeys,1297026226
23,"Peso Pluma: Bzrp Music Sessions, Vol. 55 Bizarrap, Peso Pluma",200647221
24,"Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series) The Weeknd, Madonna, Playboi Carti",115364561
25,SABOR FRESA Fuerza Regida,78300654
26,"Calm Down (with Selena Gomez) Rï¿½ï¿½ma, Selena G",899183384
27,"MOJABI GHOST Tainy, Bad Bunny",61245289
28,Last Night Morgan Wallen,429829812
29,Dance The Night (From Barbie The Album) Dua Lipa,127408954
30,Rush Troye Sivan,22581161
31,"TULUM Peso Pluma, Grupo Frontera",52294266
32,"Creepin' The Weeknd, 21 Savage, Metro Boomin",843957510
33,Anti-Hero Taylor Swift,999748277
34,"TQG Karol G, Shakira",618990393
35,"Los del Espacio Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",123122413
