,0
0,"Seven (feat. Latto) (Explicit Ver.) Latto, Jung Kook"
1,LALA Myke Towers
2,vampire Olivia Rodrigo
3,Cruel Summer Taylor Swift
4,WHERE SHE GOES Bad Bunny
5,"Sprinter Dave, Central Cee"
6,"Ella Baila Sola Eslabon Armado, Peso Pluma"
7,Columbia Quevedo
8,fukumean Gunna
9,"La Bebe - Remix Peso Pluma, Yng Lvcas"
10,"un x100to Bad Bunny, Grupo Frontera"
11,Super Shy NewJeans
12,Flowers Miley Cyrus
13,Daylight David Kushner
14,As It Was Harry Styles
15,Kill Bill SZA
16,Cupid - Twin Ver. Fifty Fifty
17,"What Was I Made For? [From The Motion Picture ""Barbie""] Billie Eilish"
18,"Classy 101 Feid, Young Miko"
19,Like Crazy Jimin
20,"LADY GAGA Gabito Ballesteros, Junior H, Peso Pluma"
21,I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The  Taylor Swift
22,I Wanna Be Yours Arctic Monkeys
23,"Peso Pluma: Bzrp Music Sessions, Vol. 55 Bizarrap, Peso Pluma"
24,"Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series) The Weeknd, Madonna, Playboi Carti"
25,SABOR FRESA Fuerza Regida
26,"Calm Down (with Selena Gomez) Rï¿½ï¿½ma, Selena G"
27,"MOJABI GHOST Tainy, Bad Bunny"
28,Last Night Morgan Wallen
29,Dance The Night (From Barbie The Album) Dua Lipa
30,Rush Troye Sivan
31,"TULUM Peso Pluma, Grupo Frontera"
32,"Creepin' The Weeknd, 21 Savage, Metro Boomin"
33,Anti-Hero Taylor Swift
34,"TQG Karol G, Shakira"
35,"Los del Espacio Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk"
36,"Frï¿½ï¿½gil (feat. Grupo Front Yahritza Y Su Esencia, Grupo Frontera"
37,Blank Space Taylor Swift
38,Style Taylor Swift
39,TQM Fuerza Regida
40,"El Azul Junior H, Peso Pluma"
41,"Sunflower - Spider-Man: Into the Spider-Verse Post Malone, Swae Lee"
42,"I'm Good (Blue) Bebe Rexha, David Guetta"
43,"See You Again Tyler, The Creator, Kali Uchis"
44,"Barbie World (with Aqua) [From Barbie The Album] Nicki Minaj, Aqua, Ice Spice"
45,Angels Like You Miley Cyrus
46,I Ain't Worried OneRepublic
47,Die For You The Weeknd
48,"Starboy The Weeknd, Daft Punk"
49,"Die For You - Remix Ariana Grande, The Weeknd"
50,"El Cielo Feid, Myke Towers, Sky Rompiendo"
51,"Baby Don't Hurt Me David Guetta, Anne-Marie, Coi Leray"
52,AMARGURA Karol G
53,(It Goes Like) Nanana - Edit Peggy Gou
54,Another Love Tom Odell
55,Blinding Lights The Weeknd
56,Moonlight Kali Uchis
57,La Bachata Manuel Turizo
58,S91 Karol G
59,cardigan Taylor Swift
60,"Tï¿½ï¿ dennis, MC Kevin o Chris"
61,"Boy's a liar Pt. 2 PinkPantheress, Ice Spice"
62,"Left and Right (Feat. Jung Kook of BTS) Charlie Puth, BTS, Jung Kook"
63,"BESO Rauw Alejandro, ROSALï¿½"
